Cellularity;Growth_pattern_1;Growth_pattern_2;Proliferation;class
0.21389;0.32033;0;0.01194;1
0.10197;0.19512;0.01381;0.02087;1
0.22117;0.30569;0;0.005;1
0.13216;0.18537;0.00095;0.01253;1
0.1214;0.17724;0;0.01291;1
0.30226;0.37236;0.03064;0.00879;1
0.44021;0.63415;0;0.00103;1
0.08477;0.0374;0.00167;0.00623;1
0.13715;0.27967;0.00762;0.00445;1
0.50613;0.30732;0.02074;0.01543;1
0.33499;0.21626;0;0.01566;1
0.14595;0.24065;0;0.0147;1
0.21433;0.2374;0;0.00722;1
0.38996;0.25041;0;0.0054;1
0.46408;0.42276;0;0.00214;1
0.23696;0.21301;0.01821;0.00149;1
0.1088;0.14309;0;0.06601;1
0.2619;0.11707;0;0.09146;1
0.20115;0.2878;0;0.01415;1
0.21776;0.29756;0;0.0046;1
0.1546;0.19024;0.01982;0.01128;1
0.14798;0.0878;0;0.01406;1
0.06733;0.09431;0.00239;0.00862;1
0.20009;0.21138;0;0.00371;1
0.44497;0.20163;0.01607;0.05803;1
0.14341;0.28618;0.02893;0.00597;1
0.44583;0.42439;0;0.02578;1
0.29638;0.09919;0;0.18263;1
0.2685;0.30407;0;0.00003;1
0.38069;0.20976;0;0.05977;1
0.36026;0.36911;0;0.00735;1
0.12376;0.17886;0.00367;0.0045;1
0.30601;0.2065;0;0.01262;1
0.27077;0.21301;0;0.00744;1
0.10537;0.38862;0.01812;0.00406;1
0.19371;0.12033;0;0.08598;1
0.25818;0.21626;0;0.00406;1
0.43873;0.21301;0.05638;0.01013;1
0.25912;0.11545;0;0.02473;1
0.15825;0.18862;0.01409;0.03173;1
0.33339;0.47967;0;0.01632;1
0.22077;0.26504;0;0.01016;1
0.42246;0.44228;0;0.01963;1
0.21067;0.15772;0.00711;0.01874;1
0.26764;0.21626;0.00364;0.00367;1
0.69688;0.37236;0;0.01048;1
0.4961;0.13821;0.02212;0.03819;1
0.84419;0.47805;0;0.06042;1
0.44441;0.44553;0.01334;0.03675;1
0.3614;0.36585;0.0151;0.00083;1
0.24489;0.39024;0;0.00432;1
0.30017;0.26667;0.0085;0.00737;1
0.36195;0.40488;0;0.00652;1
0.42125;0.46829;0;0.00622;1
0.13216;0.26992;0;0.00327;1
0.21434;0.41789;0;0.00749;1
0.17647;0.37398;0;0.01163;1
0.23617;0.12683;0;0.11949;1
0.31136;0.45366;0;0.02162;1
0.1814;0.14959;0;0.04973;1
0.26765;0.32033;0;0.01018;1
0.31242;0.29431;0;0.0106;1
0.27551;0.45528;0;0.00288;1
0.15915;0.27154;0;0.0127;1
0.17045;0.26179;0;0.01094;1
0.39806;0.1626;0;0.0381;1
0.38993;0.46504;0;0.00588;1
0.12616;0.09593;0.01205;0.02101;1
0.09262;0.2;0.00891;0.02835;1
0.38188;0.29268;0.04074;0.01926;1
0.19654;0.15122;0;0.01082;1
0.19118;0.24553;0;0.01207;1
0.28427;0.18862;0;0.01042;1
0.07523;0.09431;0.01987;0.01263;1
0.2656;0.26992;0;0.00527;1
0.45262;0.13333;0;0.01813;1
0.23093;0.21301;0.00487;0.00881;1
0.25634;0.30407;0;0.0156;1
0.30674;0.41301;0;0.00378;1
0.31655;0.58211;0;0.00593;1
0.29378;0.24553;0.00743;0.00881;1
0.11428;0.19024;0.00752;0.00883;1
0.34298;0.2065;0;0.01406;1
0.42594;0.36911;0;0.00441;1
0.0924;0.26341;0;0.00899;1
0.32208;0.46992;0;0.00148;1
0.4939;0.45528;0;0.00128;1
0.45865;0.34146;0;0.01152;1
0.34632;0.30569;0.02226;0.0062;1
0.24504;0.34472;0.00871;0.00646;1
0.19285;0.33496;0.00831;0.0053;1
0.24778;0.33821;0;0.00792;1
0.46326;0.29106;0.01236;0.00117;1
0.12883;0.0748;0.00336;0.02032;1
0.17486;0.28455;0;0.00409;1
0.34323;0.27154;0;0.00779;1
0.19671;0.19837;0;0.0156;1
0.11642;0.24065;0;0.00883;1
0.1213;0.12358;0.01755;0.01176;1
0.23918;0.25203;0;0.01198;1
0.06422;0.21463;0.01521;0.00756;1
0.32296;0.32358;0;0.00254;1
0.11229;0.06992;0.00857;0.02695;1
0.31317;0.45366;0.07056;0.05678;1
0.26786;0.35772;0;0.00585;1
0.07337;0.13008;0.04802;0.00828;1
0.23679;0.20976;0;0.00694;1
0.31696;0.30081;0;0.01141;1
0.28722;0.28943;0;0.0164;1
0.22621;0.39837;0;0.03182;1
0.293;0.36585;0.01934;0.00651;1
